Subawardee UEI,Role / Description,Source URLs,NAICS-6 code,NAICS-6 title
V8HGGNTGDH59,"Supplies air-moisture separation and filtration systems for DDG-51 gas-turbine air intakes, removing water droplets and contaminants before air enters the engines.","https://www.globenewswire.com/news-release/2012/09/18/491345/10774/en/pmfg-inc-parent-of-peerless-mfg-co-notice-of-award-valued-at-13-7-million-to-supply-air-moisture-separation-and-filtration-systems-to-u-s-navy.html
https://www.highergov.com/subcontract/N0002423C2307-14290-0/",,
LGL1LNBH8KM5,"Supplies Cla-Val automatic-control, pressure-reducing, and solenoid valve assemblies/components for DDG-51 fluid systems. Public item records identify Griswold/Cla-Val valve parts with the Arleigh Burke class as an end item, but the exact valve model in this subaward is not public.","https://www.parttarget.com/Griswold-Industries-Co_nsn-parts_88344-09J_V6105A.html
https://www.wbparts.com/rfq/4810-01-138-1943.html
https://www.parttarget.com/4820-01-193-7762_4820011937762_91584-01.html",,
DWUHNL9BC3U7,"Supplies Model 6995 low-pressure membrane compressed-air dehydrators selected for DDG-51 new construction and Model 7600 ECOLCELL electrochemical anti-fouling chlorinators, class-standard beginning with DDG-103.","https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/1.pdf
https://www.howelllabs.com/wp-content/themes/howelllabs/library/download/63.pdf",,
QNEXJLA47BM4,"Supplies marine-interior/joiner outfitting—steel/aluminum furniture, accommodation fittings, and related interior packages. A NIST shipbuilding-industry report identifies Jamestown as a marine-interiors outfitter, but public sources do not enumerate the exact items in this DDG subaward.",https://www.nist.gov/document/report02-5pdf,,
KLDTZDR12ZB7,"Juniper manufactures Navy watertight, ballistic, and weathertight doors, hatches, scuttles/manholes, plus marine-ventilation components. Public sources reviewed do not identify which of these products was supplied under this DDG-51 subaward.","https://www.juniperindustries.com/
https://govtribe.com/vendors/juniper-elbow-co-dot-inc-dot-juniper-industries-97537",,
H4ZMPGLLZ8D9,"Manufactures and repairs waterborne-propulsion shafting—propeller shafts, intermediate shafts, and stern-tube shafts—for DDG-51 ships.","https://govtribe.com/vendors/artcraft-fabricators-inc-dot-collins-machine-works-3g600
https://www.highergov.com/awardee/art-craft-fabricators-inc-10011917/",,
ENNXJDZUYCK3,"Supplies low-smoke, flame-retardant shipboard electrical/fiber-optic cable and cable assemblies under the RSCC/Marmon brands. A DDG-51 construction subcontract is documented, but public records do not disclose the exact cable type or quantity.","https://www.highergov.com/awardee/marmon-aerospace-defense-llc-10430473/
https://kitcofiberoptics.com/",,
KYURG7LRSC89,Supplies naval pumps and pump replacement/aftermarket components from the Warren and IMO product families for DDG-51 fluid systems. CIRCOR’s Warren/Simsite page explicitly lists DDG-51 among supported applications; the exact subaward pump model is not public.,"https://www.warrenpumps.com/aftermarket/simsite.htm
https://www.circor.com/",,
FLMQAKFEMG64,Supplies fuel immersion/flange heaters and associated temperature-sensing/control hardware for DDG-51. Public NSN data identifies an INDEECO thermocouple used on the class’s fuel immersion-flange heater.,"https://www.lqlite.com/NSN/6685-01-466-3185
https://indeeco.com/products/industrial/specialty-heating/marine-heating/fluid-heating-equipment/",,
DQ35GXAUTW61,"Performs abrasive blasting, surface preparation, and protective marine coating/painting on DDG construction. Public sources confirm its naval preservation/coatings capability, but the exact DDG compartment or coating system in the listed subaward is not disclosed.","https://industrialcorrosion.com/
https://industrialcorrosion.com/about-us/
https://govtribe.com/vendors/industrial-corrosion-control-inc-dot-icci-08aa4",,
N6P1AGPMV456,"Supplies shock-resistant vacuum toilets, flush units, blackwater collection equipment, and sewage-pumping hardware for DDG-51 sanitary systems.","https://evac.com/products/evac-special-vacuum-toilets/
https://www.parttarget.com/4140-01-412-1563_4140014121563_7250019-002.html
https://www.wbparts.com/rfq/4720-01-463-1797.html",,
ZA1KMNAJMVT3,Supplies and installs interior deck coverings/flooring on DDG-51 ships; a DDG construction subcontract is explicitly described as “deck covering.”,"https://www.highergov.com/subcontract/N0002413C2307-1074530-4/
https://govtribe.com/award/federal-contract-award/delivery-order-n4008423d0409-n6275826f0029",,
TSCZLHCGNQ53,"The DDG-128 subaward is a rebuy under ES012 11250, but public records do not identify the component. Facet/Filtration Group makes fuel-filtration, water-separation, and coalescer equipment; no reliable source was found matching a particular Facet model to this DDG line, so the exact role cannot be confirmed.","https://www.highergov.com/subcontract/N0002418C2307-16098-0/
https://www.highergov.com/awardee/filtration-group-corporation-10007841/",,
QYKAR7MJJXL7,Supplies ionization smoke detectors for DDG-51 fire/alarm systems; the Navy identifies Meggitt P/N SAS-04398-01 as the sole approved source for the class.,"https://sam.gov/opp/ae2c10b8860c45d3999282bdceccd24a/view
https://www.wbparts.com/rfq/6350-01-347-8915.html",,
EV4ZGUNNKMJ6,"Performs maintenance, repair, alterations, and fabrication on DDG-51-class ships during availabilities. Public records confirm DDG-class repair work but do not specify a new-construction component.","https://govtribe.com/vendors/pacific-ship-repair-fabrication-inc-dot-62739
https://govtribe.com/award/federal-contract-award/delivery-order-n0002418d4413-n4523a21f0570",,
RMLGMBGNPCC8,"Supplies hydrodynamic thrust and journal bearings for DDG-51 propulsion shaft lines and rotating machinery. Public item data links a Kingsbury bearing-related assembly to the Arleigh Burke class, but the exact bearing set in this construction subaward is not disclosed.","https://www.kingsbury.com/marine/
https://www.parttarget.com/5330-01-513-4551_5330015134551_MID-7-511X561X22.html",,
M4ANYAZ8Q6H8,"Supplies tank liquid-level/quantity sensors, transmitters, receivers, and indicators for DDG-51 shipboard tanks and monitoring systems.","https://sam.gov/opp/f217d6eb8dbe4f34879112e6c02566c3/view
https://www.wbparts.com/rfq/6680-01-486-3871.html
https://www.highergov.com/idv/SPE4A620D0205/",,
EVZMB1757DW5,"A DDG-51 subcontract is recorded for this UEI, but public sources reviewed do not identify the delivered item or work package. SteelFab is a structural-steel fabricator; without a source connecting a specific fabricated assembly to the DDG subaward, the role cannot be confirmed.","https://www.steelfab-inc.com/
https://app.g2xchange.com/companies/EVZMB1757DW5",,
HWLGUR28KMS6,Supplies slewing-arm davits and deck machinery used to launch and recover small boats. Appleton is a Navy-contracted SLAD supplier; public sources reviewed do not identify the exact davit model or hull number covered by this listed DDG construction subaward.,"https://www.war.gov/News/Contracts/Contract/Article/606694/
https://quanticeng.com/contracts/",,
PJRYS7EFXQD9,Supplies marine ball valves and inline/twinline check valves for DDG-51 piping systems; BNL’s own catalog lists DDG-51 among supported Navy ship classes.,https://www.bnl.com/files/2515/1795/4363/BNL_Catalog.pdf,,
C7QHHMJEALN1,"Supplies shipboard electrical wire and cable for DDG-51 construction, including low-smoke/zero-halogen Navy cable families such as MIL-DTL-24643, MIL-DTL-24640, and MIL-DTL-915. The DDG subcontract description is simply “Cable,” so the exact specification and circuit are not public.","https://www.highergov.com/awardee/the-monroe-cable-company-inc-10014620/
https://monroecableusa.com/",,
D2J1SSHB5EB7,Supplies sediment-strainer elements and automatic backflushing strainers for DDG-51 fluid systems; NSN 4730-01-475-2135 identifies the Arleigh Burke class as an end product.,"https://www.highergov.com/nsn/4730014752135/
https://www.wbparts.com/rfq/4730-01-475-2135.html",,
LFVJABJDQVZ9,"Distributes marine valves, pipe/tube, fittings, strainers/filtration, and bulkhead-sealing products for DDG construction. Public item data links W&O-supplied demineralizer components to the Arleigh Burke class, but the exact material mix in this subaward is not disclosed.","https://www.highergov.com/subcontract/N0002418C2307-8899-0/
https://www.highergov.com/awardee/w-o-supply-inc-10409875/
https://www.parttarget.com/5330-01-469-6966_5330014696966_5346-040.html
https://www.census.gov/naics/2022NAICS/6-digit_2022_Codes.xlsx",423840,Industrial Supplies Merchant Wholesalers
FLQJXSFMNQP6,Supplies forged Navy anchor chain and detachable connecting links/deck chain fittings for DDG-51 anchoring and mooring systems. The current DDG subcontract is documented; public sources do not disclose the chain size or grade.,"https://www.highergov.com/subcontract/N0002423C2307-19153-0/
https://www.shipserv.com/ShipServ/pages/profiles/200732/specsheets/0114SS0619w.pdf",,
MDH6KH9D4SG7,"Supplies automatic bus-transfer-switch assemblies and internal electrical parts, including power transformers and switch components, used in DDG-51 shipboard distribution. Public NSN records identify ASCO ABT components for the class.","https://www.parttarget.com/5950-01-483-6849_5950014836849_621552-001.html
https://www.parttarget.com/5999-01-513-9080_5999015139080_625604.html",,
EDNNTCM7SUS8,"Performs ship preservation—abrasive blasting, surface preparation, and application/removal of protective coatings—plus structural repair support for Navy vessels. Public sources do not identify the specific DDG-51 compartment or coating work package in this subaward.","https://www.imiallc.com/services/preservation/
https://www.imiallc.com/
https://www.virginiashiprepair.org/MemberProfile/81/IMIA-LLC",,
MMDRDDVELDX8,Supplies nonpowered shipboard valves—such as globe/stop/check and relief-valve assemblies and replacement parts—for DDG-51 fluid systems. Public NSN data identifies multiple Dante valve models with the Arleigh Burke class as the end item.,"https://www.parttarget.com/4820-01-221-2045_4820012212045_D50UU-06-1-1-4-IN.html
https://www.parttarget.com/4820-01-326-5839_4820013265839_BASAA05SBB-A030.html",,
YELYMYLF82L9,"Supplies the DDG-51 class slewing-arm boat-davit system and associated replacement/overhaul kits. A Navy award for USS Stockdale (DDG-106) identifies Lake Shore as the OEM for the installed slewing-arm davit, part number 56W4-S100.",https://www.highergov.com/contract-opportunity/uss-stockdale-ddg-1-n5523621r0014-award-n5523621c0011-lake-shore-systems-inc-c7ee1/,336611,Ship Building and Repairing
XYNDM1Y7XGG7,"Supplies propulsion bearing systems for Arleigh Burke-class destroyers. AMB lists the class among vessels equipped with its systems; its naval product line includes line-shaft, stern-tube, strut, and thrust bearings.",https://www.ambco.net/bearing-propulsion-systems,332991,Ball and Roller Bearing Manufacturing
N5KMLMXEPFM5,"Through Parker Village Marine, supplies MIL-SPEC reverse-osmosis desalination and water-purification systems installed on Arleigh Burke-class destroyers. The systems produce potable water and high-purity permeate for shipboard use.",https://www.parker.com/content/dam/Parker-com/Literature/Water-Purification/Village-Marine/Defense/7845mil.bro09.lr.pdf,333310,Commercial and Service Industry Machinery Manufacturing
JW6PXX1WALN4,"Through its HAF Navy Market/Howden American Fan business, supplied DDG-51 cooling and ventilation fans, including gas-turbine-room blowers, collective-protection-system fans, and vane-axial/centrifugal fans. Fairbanks Morse Defense acquired American Fan in 2023 and now supplies the same product line on Flight III destroyers.","https://www.highergov.com/awardee/howden-north-america-inc-10110890/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defense-expands-product-portfolio-with-american-fan-acquisition/
https://www.fairbanksmorsedefense.com/blog/fairbanks-morse-defenses-american-fan-awarded-contracts-for-u-s-navy-ddg-cooling-and-ventilation-equipment/",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
MEMSWT1LFU18,Supplies the DDG-51 helicopter-hangar door system and replacement components. Jered’s electrically driven folding NAVTRUSS-panel doors are installed on the class and are qualified to Navy Grade A shock requirements.,https://www.jered.com/products/specialty-access-sideport-shell-doors/,332312,Fabricated Structural Metal Manufacturing
C7RWMXEE6SD3,"Supplies DDG-51 shipboard chilled-water air-conditioning plants, including 50-ton HFC-134a High-Efficiency Super-Capacity chillers. The Navy procures these plants to meet added cooling demand from DDG-51 electronic-warfare upgrades.","https://www.highergov.com/contract-opportunity/johnson-controls-navy-systems-jcns-high-efficien-22-mmm-093-p-34e9d/
https://www.johnsoncontrols.com/marine-and-navy/hvac-solutions/navy-and-non-combat-solutions
https://www.cleat.ai/government/contractors/johnson-controls-inc-aa9x
https://www.census.gov/naics/?details=33&input=33&year=2022",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
HLVBPCA2LH41,"This UEI is Rolls-Royce Naval Marine’s Walpole, Massachusetts operation. For DDG-51 ships, public Rolls-Royce evidence ties Walpole to controllable-pitch-propeller hub and oil-distribution-box work and to production/service of naval propeller components; it should not be conflated with the Indianapolis sibling that supplies the generator-set gas-turbine prime movers.","https://www.highergov.com/awardee/rolls-royce-marine-north-america-inc-10106597/
https://www.rolls-royce.com/media/press-releases/2020/24-06-2020-rr-secures-us-navy-contracts-totalling.aspx",332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
HYGLK2BNFKB3,"This UEI is the MTU/Rolls-Royce Solutions America diesel-engine business in Novi, Michigan. I found no public evidence assigning this entity a distinct DDG-51 new-construction component; Rolls-Royce’s documented DDG generator sets use 501-K34 or MT5S gas turbines supplied through a different Rolls-Royce entity.","https://www.highergov.com/awardee/rolls-royce-solutions-america-inc-10113264/
https://www.rolls-royce.com/media/our-stories/discover/2022/celebrating-50-years-of-delivering-marine-gas-turbine-generators.aspx",333618,Other Engine Equipment Manufacturing
KHK8QYLFGLU1,"The Indianapolis Rolls-Royce Corporation entity supplies the gas-turbine prime movers used in DDG-51 ship-service generator sets: the 501-K34 in the AG9140 and the MT5S in the Flight III AG9160. This is the engine-manufacturing role, distinct from Walpole’s propeller/propulsor work.","https://www.rolls-royce.com/media/our-stories/discover/2017/power-surge-ag9160.aspx
https://www.rolls-royce.com/media/our-stories/discover/2022/celebrating-50-years-of-delivering-marine-gas-turbine-generators.aspx",541330,Engineering Services
J1T1FEN3PWX6,GE’s Evendale/Cincinnati aircraft-engine entity produces LM2500 aeroderivative gas turbines used as the DDG-51 class’s main-propulsion engines. GE states that each Arleigh Burke-class destroyer is powered by four LM2500-family engines.,https://www.ge.com/news/press-releases/ge-delivers-200th-lm2500-aeroderivative-gas-turbine,336412,Aircraft Engine and Engine Parts Manufacturing
U864F3HRME53,"This UEI is GE Energy Power Conversion’s Pennsylvania operation, whose naval portfolio covers shipboard power conversion, distribution, drives, automation, and controls. Public sources do not identify the exact DDG-51 hardware represented by this subaward, so a more specific component cannot be confirmed.","https://www.sweetspot.so/markets/federal/contractors/ge-energy-power-conversion-usa-inc-u864f3hrme53/
https://www.gevernova.com/power-conversion/industries/Marine/Naval",541330,Engineering Services
C12YPM9YKQA5,"Panametrics manufactures process-instrumentation products such as ultrasonic flowmeters and moisture, oxygen, and gas analyzers. Navy records show this exact UEI supplying measurement equipment, including dew-point indicators, but I found no public source tying a particular Panametrics instrument to DDG-51 construction.","https://www.highergov.com/awardee/panametrics-llc-55366164/
https://www.panametrics.com/
https://www.highergov.com/contract/N0010423PSA39/",334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
J3AFGKXWYK73,"This legacy York International registration is the York, Pennsylvania HVAC/refrigeration operation. YORK equipment is used for shipboard heating, ventilation, air-conditioning, and refrigeration, but public evidence does not separate this UEI’s DDG-51 deliverable from the affiliated Johnson Controls Navy Systems entity.","https://www.govchime.com/market-intelligence/awards/CONT_AWD_0001_9700_SPE4A616D5099_9700
https://www.johnsoncontrols.com/marine-and-navy
https://www.naics.com/company-profile-page/?co=2780",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
H1PAVTLJBJ88,"The Marinette, Wisconsin Tyco Fire Products entity manufactures fire-suppression equipment and agents, including valves, nozzles, sprinklers, and foam-system products. Its exact DDG-51 shipset item is not publicly identified, so the role can only be confirmed at the fire-protection-system component level.","https://govtribe.com/vendors/tyco-fire-products-lp-tyco-fire-protection-products-03670
https://www.tyco-fire.com/",339999,All Other Miscellaneous Manufacturing
E83TNKA9JCY6,"Air Systems Components’ Sanford, North Carolina operation includes the Trion air-cleaning business, which makes electrostatic air cleaners, filtration units, and related indoor-air-quality equipment. I found no public source identifying the specific Trion/Air Systems component installed during DDG-51 construction.","https://www.highergov.com/awardee/air-systems-components-inc-10139378/
https://www.airsysco.com/
https://www.trioniaq.com/",333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
MD21J51WM123,"This is a legacy Tyco Fire Products Limited Partnership registration associated with fire-protection equipment. The exact entity-level DDG-51 component—and even the continuing operating site behind this UEI—could not be confirmed from public sources, so it should not inherit the Marinette sibling’s detailed product description.","https://cage.report/SAM/3ZDJ8
https://www.tyco-fire.com/",333999,All Other Miscellaneous General Purpose Machinery Manufacturing
GXPHJRVG9MR7,"The Menomonee Falls DRS Naval Power Systems entity manufactures naval electrical power-distribution hardware, including transformers, switchboards/load centers, power-conditioning equipment, and related controls. Public sources confirm the facility and product family, but do not disclose the exact DDG-51 unit covered by this UEI’s subaward.","https://www.highergov.com/awardee/drs-naval-power-systems-inc-10114216/
https://www.leonardodrs.com/locations/naval-power-systems-menomonee-falls-wi/
https://www.leonardodrs.com/what-we-do/products-and-services/ship-power-and-propulsion/",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
VJMTKNLENX24,"Engineered Coil Company is Leonardo DRS’s Marlo Coil operation in High Ridge, Missouri. It manufactures custom Navy and marine heat-transfer equipment—evaporator and condenser coils, air coolers, and other HVAC/refrigeration coils—for shipboard environmental-control systems; the public record does not identify the exact DDG-51 coil assembly.","https://www.highergov.com/awardee/engineered-coil-company-10113359/
https://www.leonardodrs.com/what-we-do/products-and-services/navy-and-marine-coils/
https://www.leonardodrs.com/locations/naval-power-systems-marlo-heat-transfer-solutions-high-ridge-mo/",333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
NQKEVF8KEMP1,"Pivotal Power’s Bedford, Nova Scotia entity makes rugged military power-conversion and power-supply equipment. A Navy award to this exact UEI identifies a shipboard power supply for USS Decatur (DDG-73), providing a concrete DDG-51 application.","https://www.highergov.com/awardee/pivotal-power-inc-10107956/
https://govtribe.com/award/federal-contract-award/purchase-order-n0040624p0230",335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
T2VFE1NGR3G5,"The Fort Walton Beach DRS Training & Control Systems entity develops military training, control, communications, and wireless-electronics products. I found no public evidence identifying a discrete DDG-51 construction component supplied by this UEI.",https://www.highergov.com/awardee/drs-training-control-systems-llc-10107268/,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
NL7RNBHWHJQ1,"DRS Technologies Canada in Ottawa produces naval communications equipment such as secure shipboard terminals, telephones, headsets, and associated electronics. Public award data supports those product lines for this UEI, but the exact DDG-51 installation represented by the subaward is not disclosed.","https://www.highergov.com/awardee/drs-technologies-canada-ltd-10111589/
https://spendingvault.com/recipients/NL7RNBHWHJQ1/",334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
JLREE96WGKM5,"DRS Laurel Technologies in Johnstown, Pennsylvania supplies Aegis combat-system electronics, including TI-24 consoles/displays and Mk 41 Vertical Launching System launch-control and power-supply modules. Those are concrete combat-system construction items distinct from DRS’s propulsion-power and HVAC-coil businesses.","https://www.highergov.com/awardee/laurel-technologies-partnership-10114622/
https://www.sledai.com/tools/public-spend/vendor/laurel-technologies-partnership-jlree96wgkm5/",334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
ZW3UMG9YVNA9,This UEI is the Tulsa maritime power business formerly known as L-3 Westwood. It supplies MIL-SPEC shipboard switchboards and load centers used to distribute electrical power on DDG-51-class ships.,"https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10423117/
https://www.l3harris.com/all-capabilities/military-specification-switchboards-and-load-centers",335313,Switchgear and Switchboard Apparatus Manufacturing
HLE1E2KALJA5,"The Anaheim L3Harris Maritime Power & Energy Solutions entity manufactures naval power and distribution equipment, with its registered industry focused on specialty transformers. Public sources do not isolate the exact transformer or power package supplied to the DDG-51 program under this UEI.","https://www.highergov.com/awardee/l3harris-maritime-power-energy-solutions-inc-10112324/
https://www.l3harris.com/all-capabilities/maritime-power-and-energy-solutions",335311,"Power, Distribution, and Specialty Transformer Manufacturing"
QGB4RDYJNJT9,"Ellwood National Forge’s Irvine, Pennsylvania operation produces large open-die steel forgings and forged shafting for naval and other heavy-duty applications. The specific DDG-51 forging covered by this subaward is not publicly identified, so no particular shaft, rotor, or coupling should be assigned.","https://www.sweetspot.so/markets/federal/contractors/ellwood-national-forge-company-qgb4rdyjnjt9/
https://www.ellwoodnationalforge.com/",332111,Iron and Steel Forging
GKPGD2F1LKL5,"Despite the workbook label, this UEI resolves to Ellwood City Forge Company, a separate Ellwood plant that makes large open-die forgings, shafts, rotors, and other heavy steel components. I found no public source identifying which DDG-51 forging this site supplied.","https://www.highergov.com/awardee/ellwood-city-forge-company-10003769/
https://www.ellwoodcityforge.com/",332111,Iron and Steel Forging
