NAICS-6,NAICS-6 Title,Capability Domain (D),Primary Output (P),Mapping Status,D Rationale,P Rationale,Notes / Caveats
335313,Switchgear and Switchboard Apparatus Manufacturing,D3,P3,Mapped,"Switches, protects, and distributes electrical power -> D3",Switchgear and switchboards are functional equipment -> P3,7/7 researched examples agree (D3/P3)
325212,Synthetic Rubber Manufacturing,D9,P2,Mapped,Synthetic-rubber specialization is a materials capability -> D9,Observed suppliers consistently deliver finished rubber components -> P2,2/2 researched examples agree (D9/P2)
332912,Fluid Power Valve and Hose Fitting Manufacturing,D4,P3,Mapped,Fluid-power valves and fittings control pressure flow -> D4,Observed suppliers consistently deliver functional valve assemblies -> P3,5/5 researched examples agree (D4/P3); fitting-only vendors may require P2
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",D2,P3,Mapped,Gears and drives transmit mechanical power -> D2,Gearboxes and drives are functional equipment -> P3,Single override treated as entity-specific; definition-based default
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",D6,P3,Mapped,"Search, radar, sonar, and navigation are mission functions -> D6",Individual instruments and equipment are bounded units -> P3,5/5 researched examples agree (D6/P3); P4 requires entity evidence
332996,Fabricated Pipe and Pipe Fitting Manufacturing,D4,P2,Mapped,Pipe and fittings support fluid distribution -> D4,"Cut, threaded, or bent pipe products are components -> P2",Override spread treated as entity-specific; definition-based default
326291,Rubber Product Manufacturing for Mechanical Use,D9,P2,Mapped,Molded and extruded rubber process is the core capability -> D9,Mechanical rubber goods are finished components -> P2,5/5 researched examples agree (D9/P2)
334417,Electronic Connector Manufacturing,D7,P2,Mapped,Electronic connectors carry power or signal between items -> D7,Connectors install into larger assemblies -> P2,3/3 researched examples agree (D7/P2)
339999,All Other Miscellaneous Manufacturing,D0,P0,Unresolved,Residual manufacturing spans unrelated technical domains -> D0,"Residual products span materials, parts, and equipment -> P0",Broad residual code; resolve only through entity evidence
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,D7,P3,Mapped,Electrical test instruments are component-level electronics -> D7,Meters and testers are bounded functional equipment -> P3,D7 agrees across researched examples; one output remains unresolved
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",D3,P2,Mapped,Observed use centers on ship-service power components -> D3,"Capacitors, resistors, and inductors install into larger equipment -> P2",3/3 researched examples agree on D3; output form varies by component scale
334419,Other Electronic Component Manufacturing,D7,P2,Mapped,Residual electronic components carry or condition signal -> D7,Electronic components install into larger devices -> P2,3/3 researched examples agree on D7; P2 is the definition-based lower form
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,D3,P3,Mapped,"Converters, power supplies, and UPS equipment manage power -> D3",Converters and power supplies are functional equipment -> P3,P agrees across 3 overrides; D spread remains entity-specific
331513,Steel Foundries (except Investment),D9,P1,Mapped,Casting process is the differentiating capability -> D9,Castings normally require downstream machining or qualification -> P1,D agrees across 4 overrides; P spread remains entity-specific
332420,Metal Tank (Heavy Gauge) Manufacturing,D4,P3,Mapped,Tanks and vessels store fluids or gases -> D4,Tanks and vessels are bounded functional equipment -> P3,3/3 researched examples agree on P3; domain exceptions require overrides
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",D1,P0,Partial,Observed armored structures align most closely with D1,Complete platforms and components span P5 and P2 -> P0,2/2 researched examples use D1/P5; P5 remains override-only
332919,Other Metal Valve and Pipe Fitting Manufacturing,D4,P2,Mapped,"Valves, flanges, and fittings support fluid systems -> D4",Fittings and small valves are finished components -> P2,3/3 researched examples agree (D4/P2)
333995,Fluid Power Cylinder and Actuator Manufacturing,D4,P3,Mapped,Hydraulic and pneumatic actuators control fluid power -> D4,Cylinders and actuators are functional equipment -> P3,2/2 researched examples agree (D4/P3)
541330,Engineering Services,D11,P6,Partial,Engineering services span every technical domain -> D11 (services / non-material support; no single technical ship domain),Engineering packages and technical support are work products -> P6,Override domains and hardware outputs are entity-specific
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",D7,P3,Mapped,Process instruments measure and control electronic signals -> D7,Process instruments are bounded functional equipment -> P3,D7 agrees across researched examples; one output remains unresolved
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,D5,P3,Mapped,"Fans, blowers, and air purification condition shipboard air -> D5",Fans and purification units are functional equipment -> P3,D5 agrees across researched examples; one output remains unresolved
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",D9,P1,Mapped,Laminated-plastic stock reflects material-process specialization -> D9,"Plate, sheet, and rod require downstream fabrication -> P1",Single P2 override reflects downstream fabrication beyond the industry definition
333310,Commercial and Service Industry Machinery Manufacturing,D0,P3,Partial,Commercial machinery examples span multiple ship domains -> D0,Commercial machines are bounded functional equipment -> P3,4/4 researched examples agree on P3; domain requires entity evidence
333912,Air and Gas Compressor Manufacturing,D4,P3,Mapped,Compresses or evacuates air and gases -> D4,Compressors and vacuum pumps are functional equipment -> P3,2/2 researched examples agree (D4/P3)
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",D6,P6,Mapped,Observed research work consistently supports mission systems -> D6,Research results are technical work products -> P6,3/3 researched examples agree on D6; P4 prototype exceptions require overrides
333998,All Other Miscellaneous General Purpose Machinery Manufacturing,D0,P3,Partial,Residual general-purpose machinery spans D4 and D8 functions -> D0,Listed machinery is bounded functional equipment -> P3,Broad residual code; technical domain requires entity evidence
333611,Turbine and Turbine Generator Set Units Manufacturing,D2,P3,Partial,Turbines map to D2 while generator sets map to D3 -> D2 (dominant technical domain),Turbines and generator sets are functional equipment -> P3,2/2 researched examples agree on P3; domain remains split
551114,"Corporate, Subsidiary, and Regional Managing Offices",D0,P0,Unresolved,Managing offices have no attributable technical domain -> D0,No operating output is attributable to the managing office -> P0,Non-operating attribution; use the operating subsidiary override
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,D6,P3,Mapped,Wireless communications equipment supports mission communications -> D6,Antennas and radio equipment are bounded units -> P3,Configured communications systems require entity evidence for P4
333613,Mechanical Power Transmission Equipment Manufacturing,D2,P2,Mapped,"Bearings, couplings, clutches, and chains transmit power -> D2",Transmission components install into larger machinery -> P2,3/3 researched examples agree (D2/P2)
541611,Administrative Management and General Management Consulting Services,D11,P6,Partial,General management consulting has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Consulting deliverables are technical work products -> P6,Researched example agrees on D0/P6
238210,Electrical Contractors and Other Wiring Installation Contractors,D11,P6,Partial,"Electrical installation spans power, controls, cable, and alarms -> D11 (services / non-material support; no single technical ship domain)",Contractual handoff is installed-service work -> P6,Single hardware override is entity-specific; definition-based service default retained
332991,Ball and Roller Bearing Manufacturing,D2,P2,Mapped,Bearings support propulsive power transmission -> D2,Bearings install into larger machinery -> P2,Single override treated as entity-specific; definition-based default
334290,Other Communications Equipment Manufacturing,D6,P3,Mapped,Communications and alarm equipment supports mission functions -> D6,Individual communications units are functional equipment -> P3,3/3 researched examples agree (D6/P3); P4 requires entity evidence
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",D3,P0,Partial,Assortment centers on electrical power apparatus and controls -> D3,Merchandise spans wiring components and complete equipment -> P0,Single P3 override is entity-specific; wholesaler output form remains mixed
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,D0,P0,Unresolved,Aircraft parts and auxiliary equipment span multiple ship domains -> D0,2/2 researched examples could not resolve output form -> P0,Resolve through entity and delivered-item evidence
423830,Industrial Machinery and Equipment Merchant Wholesalers,D0,P0,Partial,Industrial machinery assortment spans multiple ship domains -> D0,Merchandise spans finished equipment and components -> P0,Single D4/P3 override is entity-specific
541613,Marketing Consulting Services,D11,P6,Partial,Marketing consulting has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Consulting deliverables are work products -> P6,Single D8/P2 override is entity-specific
488510,Freight Transportation Arrangement,D11,P6,Partial,Freight arrangement has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Transportation coordination is a service handoff -> P6,Researched example agrees on D0/P6
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,D11,P6,Partial,Repair scope spans many machinery domains -> D11 (services / non-material support; no single technical ship domain),Repair labor is the principal handoff -> P6,Researched example agrees on D0/P6
334111,Electronic Computer Manufacturing,D7,P3,Mapped,Computers are component-level electronic hardware -> D7,Computers are bounded functional equipment -> P3,2/2 researched examples agree (D7/P3)
331529,Other Nonferrous Metal Foundries (except Die-Casting),D9,P1,Mapped,Casting process is the differentiating capability -> D9,Castings normally require downstream machining or qualification -> P1,Single override treated as entity-specific; definition-based default
332322,Sheet Metal Work Manufacturing,D9,P2,Mapped,Generic sheet-metal fabrication is a process capability -> D9,2/2 researched examples agree on finished-component form -> P2,Technical domain varies with the fabricated article
513210,Software Publishers,D11,P6,Partial,Generic software publishing does not identify a ship domain -> D11 (services / non-material support; no single technical ship domain),Published software is a technical work product -> P6,2/2 researched examples agree (D0/P6)
333120,Construction Machinery Manufacturing,D0,P3,Partial,Construction machinery is not a ship technical domain -> D0,Construction machines are bounded functional equipment -> P3,Single unresolved override is not a definition-level default
332323,Ornamental and Architectural Metal Work Manufacturing,D1,P2,Mapped,"Stairs, railings, flooring, and scaffolding are structural fabrications -> D1",Architectural metalwork is a fit-ready structural component -> P2,Single override treated as entity-specific; definition-based default
423840,Industrial Supplies Merchant Wholesalers,D0,P0,Partial,Industrial-supply assortment spans materials and equipment domains -> D0,"Merchandise spans consumables, materials, and components -> P0",Single D4/P2 override is entity-specific
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,D5,P3,Mapped,Heating boilers and units perform thermal conditioning -> D5,Heating units are bounded functional equipment -> P3,Single override treated as entity-specific; definition-based default
333517,Machine Tool Manufacturing,D0,P3,Partial,"Metalworking machine tools are production equipment, not a ship domain -> D0",Machine tools are bounded functional equipment -> P3,Single D0/P3 override supports the definition-based call
236210,Industrial Building Construction,D11,P6,Partial,Industrial-building construction is not a ship technical domain -> D11 (services / non-material support; no single technical ship domain),Construction work is a labor-led handoff -> P6,Researched example agrees on D0/P6
335929,Other Communication and Energy Wire Manufacturing,D7,P2,Mapped,Insulated wire carries shipboard power or signal -> D7,Wire and cable install into larger assemblies -> P2,Single override treated as entity-specific; definition-based default
335910,Battery Manufacturing,D3,P3,Mapped,Batteries store and supply ship-service electrical power -> D3,Batteries are bounded functional equipment -> P3,Single override treated as entity-specific; definition-based default
541519,Other Computer Related Services,D11,P6,Partial,Generic computer services do not identify a ship domain -> D11 (services / non-material support; no single technical ship domain),Computer support is a technical-service handoff -> P6,Single P3 override is entity-specific; NAICS definition is service-led
333618,Other Engine Equipment Manufacturing,D2,P3,Mapped,Internal-combustion engines are prime movers -> D2,Engines are bounded functional equipment -> P3,Single unresolved output override is not a definition-level default
325991,Custom Compounding of Purchased Resins,D9,P1,Mapped,Custom resin compounding is a material-process capability -> D9,Compounded resin requires downstream fabrication -> P1,Single P2 override reflects downstream conversion beyond the code
424710,Petroleum Bulk Stations and Terminals,D4,P1,Mapped,Bulk petroleum is a fluid commodity handled in storage systems -> D4,Petroleum products are bulk inputs -> P1,Single override treated as entity-specific; definition-based default
334519,Other Measuring and Controlling Device Manufacturing,D7,P3,Mapped,Measuring and controlling devices are electronic instruments -> D7,Devices and instruments are bounded functional equipment -> P3,Broad instrument residual; confirm unusual non-electronic products
423690,Other Electronic Parts and Equipment Merchant Wholesalers,D0,P0,Partial,Electronic parts and communications equipment span D7 and D6 -> D0,Merchandise spans parts and complete equipment -> P0,No override signal; mixed commodity and output scope
333992,Welding and Soldering Equipment Manufacturing,D0,P3,Partial,"Welding machinery is production equipment, not a ship domain -> D0",Welding machines are bounded functional equipment -> P3,"Single D1 override reflects the customer's application, not the industry"
236220,Commercial and Institutional Building Construction,D11,P6,Partial,Commercial-building construction is not a ship technical domain -> D11 (services / non-material support; no single technical ship domain),Construction work is a labor-led handoff -> P6,Single D5 override is entity-specific
331420,"Copper Rolling, Drawing, Extruding, and Alloying",D9,P1,Mapped,Copper rolling and drawing is a material-process capability -> D9,"Bar, plate, sheet, tube, and wire remain material inputs -> P1",Single D7/P2 override reflects downstream product specialization
561320,Temporary Help Services,D11,P6,Partial,Temporary staffing has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),The contractual handoff is temporary labor -> P6,No override signal; definition-based default
332721,Precision Turned Product Manufacturing,D9,P2,Mapped,Precision turning is the differentiating process -> D9,Turned products are finished parts -> P2,Single override treated as entity-specific; definition-based default
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,D9,P2,Mapped,Missile and space-vehicle parts are specialized components -> D9,Parts and auxiliary equipment are finished components -> P2,Single researched example agrees (D9/P2)
541512,Computer Systems Design Services,D6,P6,Mapped,Computer-system integration supports mission and communications functions -> D6,"Design, installation, and support are technical work products -> P6",Integrated hardware would require entity evidence for P4
331110,Iron and Steel Mills and Ferroalloy Manufacturing,D9,P1,Mapped,Steelmaking and primary-shape production is a material capability -> D9,Steel shapes and alloys are bulk inputs -> P1,Single override treated as entity-specific; definition-based default
238320,Painting and Wall Covering Contractors,D9,P6,Mapped,Ship painting is a coatings and surface-treatment capability -> D9,Painting work is a service handoff -> P6,Single override treated as entity-specific; definition-based default
332112,Nonferrous Forging,D9,P1,Mapped,Forging process is the differentiating capability -> D9,Forgings normally require downstream machining -> P1,Single override treated as entity-specific; definition-based default
332321,Metal Window and Door Manufacturing,D10,P2,Mapped,"Windows, doors, frames, and trim are general outfit -> D10",Closures and frames install as finished components -> P2,No override signal; definition-based default
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",D8,P3,Mapped,"Cranes, hoists, winches, and monorails handle loads -> D8",Handling machinery is bounded functional equipment -> P3,Single override treated as entity-specific; definition-based default
483113,Coastal and Great Lakes Freight Transportation,D11,P6,Partial,Cargo transportation has no installed ship technical domain -> D11 (services / non-material support; no single technical ship domain),Transportation is a service handoff -> P6,"Single D8 override reflects program context, not the NAICS definition"
336612,Boat Building,D8,P3,Mapped,Small boats function as shipboard auxiliary craft -> D8,A boat is a bounded functional unit -> P3,Whole-craft integration does not establish P4/P5 without entity evidence
238290,Other Building Equipment Contractors,D8,P6,Mapped,"Rigging, conveyors, elevators, and industrial doors are handling auxiliaries -> D8",Installation and rigging are service handoffs -> P6,Single override treated as entity-specific; definition-based default
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,D9,P1,Mapped,Residual chemical preparations are specialty materials -> D9,Chemical preparations are bulk or consumable inputs -> P1,Broad chemical residual; confirm unusual finished products
423510,Metal Service Centers and Other Metal Merchant Wholesalers,D9,P1,Mapped,Primary-metal products are material stock -> D9,"Ingots, bars, plate, sheet, and pipe are material inputs -> P1",No override signal; definition-based default
484121,"General Freight Trucking, Long-Distance, Truckload",D11,P6,Partial,General freight trucking has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Freight movement is a service handoff -> P6,Researched example agrees on D0/P6
336411,Aircraft Manufacturing,D0,P0,Unresolved,"Complete aircraft, conversion, and overhaul do not map to one ship domain -> D0",Complete platforms and overhaul span incompatible output forms -> P0,High-integration platform code; resolve through entity evidence
611430,Professional and Management Development Training,D11,P6,Partial,Professional training has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Training is a labor-led work product -> P6,Researched example agrees on D0/P6
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,D11,P6,Partial,Rental inventory spans unrelated machinery domains -> D11 (services / non-material support; no single technical ship domain),Rental is a service handoff -> P6,No override signal; definition-based default
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,D7,P0,Partial,Computers and peripherals are electronic hardware -> D7,Hardware and software span P3 and P6 -> P0,No override signal; output form is mixed
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,D6,P0,Partial,Missile propulsion units support a weapon-system function -> D6,Definition spans functional units and component parts -> P0,Single unresolved override supports conservative treatment
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,D7,P2,Mapped,Loaded circuit boards are electronic assemblies -> D7,Printed circuit assemblies are inputs to larger devices -> P2,No override signal; definition-based default
551112,Offices of Other Holding Companies,D0,P0,Unresolved,Holding companies have no attributable technical domain -> D0,No operating output is attributable -> P0,Non-operating attribution; use the operating subsidiary override
335314,Relay and Industrial Control Manufacturing,D3,P3,Mapped,"Relays, starters, and controllers switch electrical power -> D3",Control units are bounded functional equipment -> P3,No override signal; definition-based default
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",D1,P0,Partial,Lumber and wood panels primarily support structural fabrication -> D1,Stock lumber and finished millwork span P1 and P2 -> P0,No override signal; mixed output form
325520,Adhesive Manufacturing,D9,P1,Mapped,Adhesives and caulking compounds are specialty materials -> D9,Adhesives are consumable process inputs -> P1,No override signal; definition-based default
335931,Current-Carrying Wiring Device Manufacturing,D7,P2,Mapped,Wiring devices connect and carry electrical power -> D7,"Bus bars, receptacles, and switches are components -> P2",No override signal; definition-based default
561910,Packaging and Labeling Services,D11,P6,Partial,Packaging services have no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Packaging service is the contractual handoff -> P6,No override signal; definition-based default
339113,Surgical Appliance and Supplies Manufacturing,D10,P0,Partial,Safety and medical outfit align most closely with D10,Supplies range from consumables to complete furniture -> P0,No override signal; output form requires product evidence
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,D7,P3,Mapped,Computer peripherals are component-level electronic hardware -> D7,Terminals and peripherals are bounded functional equipment -> P3,No override signal; definition-based default
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",D9,P2,Mapped,Fastener forming is a specialized metal process -> D9,"Bolts, nuts, rivets, and washers are finished parts -> P2",No override signal; definition-based default
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",D9,P1,Mapped,"Rolling, drawing, and extrusion are primary-metal processes -> D9","Bar, plate, sheet, strip, and tube are material inputs -> P1",No override signal; definition-based default
332216,Saw Blade and Handtool Manufacturing,D0,P0,Partial,"Saw blades and handtools are production supplies, not a ship domain -> D0",Saw blades and complete handtools span P2 and P3 -> P0,No override signal; mixed output form
332510,Hardware Manufacturing,D10,P2,Mapped,"Hinges, handles, keys, and locks are general outfit -> D10",Hardware installs as finished components -> P2,No override signal; definition-based default
425120,Wholesale Trade Agents and Brokers,D11,P6,Partial,Goods brokerage has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Brokerage is a service handoff -> P6,No override signal; definition-based default
423710,Hardware Merchant Wholesalers,D10,P0,Partial,Hardware and tools are general-outfit supplies -> D10,Fasteners and complete tools span P2 and P3 -> P0,No override signal; mixed output form
335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",D10,P3,Mapped,Lighting fixtures are finished general outfit -> D10,Lighting fixtures are bounded functional equipment -> P3,No override signal; definition-based default
322211,Corrugated and Solid Fiber Box Manufacturing,D0,P2,Partial,Shipping boxes do not support a technical ship domain -> D0,Boxes and partitions are finished packaging components -> P2,No override signal; indirect supply-chain input
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,D0,P0,Partial,"Aircraft, railcars, ships, and boats span unrelated domains -> D0",Complete platforms and supplies span incompatible output forms -> P0,High-integration goods require entity evidence; no P4/P5 default
221310,Water Supply and Irrigation Systems,D4,P6,Mapped,Water treatment and distribution are fluid-system functions -> D4,Water supply is a service handoff -> P6,No override signal; indirect utility support
333248,All Other Industrial Machinery Manufacturing,D0,P3,Partial,Residual industrial machinery spans unrelated production processes -> D0,Industrial machines are bounded functional equipment -> P3,No override signal; technical domain requires entity evidence
336414,Guided Missile and Space Vehicle Manufacturing,D6,P0,Partial,Complete guided missiles are integrated weapon systems -> D6,P4 requires entity evidence despite complete-system wording -> P0,High-integration gate applied; P4 remains override-only
541511,Custom Computer Programming Services,D11,P6,Partial,Generic programming does not identify a ship domain -> D11 (services / non-material support; no single technical ship domain),Software code and support are technical work products -> P6,No override signal; definition-based default
562910,Remediation Services,D11,P6,Partial,Remediation services do not identify a ship technical domain -> D11 (services / non-material support; no single technical ship domain),Remediation work is a labor-led handoff -> P6,No override signal; definition-based default
561612,Security Guards and Patrol Services,D11,P6,Partial,Guard services have no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Security labor is a service handoff -> P6,No override signal; definition-based default
541380,Testing Laboratories and Services,D11,P6,Partial,Testing scope spans every technical domain -> D11 (services / non-material support; no single technical ship domain),Test reports and qualification results are work products -> P6,No override signal; technical domain requires test-specific evidence
337127,Institutional Furniture Manufacturing,D10,P3,Mapped,Institutional furniture is habitability and interior outfit -> D10,Furniture is a bounded finished article -> P3,No override signal; definition-based default
325211,Plastics Material and Resin Manufacturing,D9,P1,Mapped,Resins and plastics materials are specialty material inputs -> D9,Resins require downstream forming or fabrication -> P1,No override signal; definition-based default
332613,Spring Manufacturing,D9,P2,Mapped,Spring forming is a specialized metal process -> D9,Springs are finished parts -> P2,No override signal; definition-based default
326113,UNLAMINATED PLASTICS FILM AND SHEET (EXCEPT PACKAGING) MANUFACTURING,D9,P1,Mapped,Plastic film and sheet production is a materials process -> D9,Film and sheet require downstream fabrication -> P1,No override signal; definition-based default
923110,Administration of Education Programs,D11,P6,Partial,Education administration has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Administrative work is a service handoff -> P6,No override signal; definition-based default
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",D8,P3,Mapped,"Forklifts, stackers, and loading docks handle material -> D8",Industrial trucks and stackers are functional equipment -> P3,No override signal; definition-based default
334516,Analytical Laboratory Instrument Manufacturing,D7,P3,Mapped,Analytical instruments are component-level electronic equipment -> D7,Analytical instruments are bounded functional equipment -> P3,No override signal; definition-based default
561990,All Other Support Services,D11,P6,Partial,Residual support services have no stable technical domain -> D11 (services / non-material support; no single technical ship domain),Support activity is a service handoff -> P6,Broad residual service code; resolve specialty through entity evidence
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,D0,P3,Partial,Residual general-purpose machinery spans fluid and handling functions -> D0,Listed machinery is bounded functional equipment -> P3,Legacy residual code; technical domain requires entity evidence
238990,All Other Specialty Trade Contractors,D11,P6,Partial,Residual specialty trades span unrelated technical domains -> D11 (services / non-material support; no single technical ship domain),Trade work is a service handoff -> P6,Broad residual trade code; resolve specialty through entity evidence
541614,"Process, Physical Distribution, and Logistics Consulting Services",D11,P6,Partial,Operations and logistics consulting has no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Consulting deliverables are work products -> P6,No override signal; definition-based default
326199,All Other Plastics Product Manufacturing,D9,P2,Mapped,Residual plastics manufacturing is a material-process capability -> D9,Finished plastics products are most defensibly components -> P2,Broad residual product code; confirm complete end-item exceptions
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",D9,P2,Mapped,Metal stamping and spinning are specialized forming processes -> D9,Stampings and spun products are finished components -> P2,No override signal; definition-based default
237990,Other Heavy and Civil Engineering Construction,D11,P6,Partial,Heavy civil and marine construction spans nonship infrastructure -> D11 (services / non-material support; no single technical ship domain),Construction work is a labor-led handoff -> P6,No override signal; marine-facility work does not imply ship-module output
541990,"All Other Professional, Scientific, and Technical Services",D11,P6,Partial,Residual professional services have no stable technical domain -> D11 (services / non-material support; no single technical ship domain),"Reports, inspections, and appraisals are work products -> P6",Broad residual service code; resolve specialty through entity evidence
424690,Other Chemical and Allied Products Merchant Wholesalers,D9,P1,Mapped,Industrial chemicals are specialty material inputs -> D9,Chemicals and salts are bulk or consumable inputs -> P1,Broad chemical assortment; confirm unusual equipment products
331524,Aluminum Foundries (except Die-Casting),D9,P1,Mapped,Casting process is the differentiating capability -> D9,Castings normally require downstream machining or qualification -> P1,No override signal; definition-based default
334412,Bare Printed Circuit Board Manufacturing,D7,P2,Mapped,Bare circuit boards carry electronic interconnect pathways -> D7,Bare printed circuit boards are finished components -> P2,No override signal; definition-based default
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",D5,P3,Mapped,Automatic controls regulate HVAC and refrigeration -> D5,Controllers and regulators are functional equipment -> P3,No override signal; definition-based default
444190,Other Building Material Dealers,D0,P0,Partial,"Building materials span structural, electrical, fluid, and outfit domains -> D0",Stock materials and finished fixtures span P1 through P3 -> P0,Legacy retail code; resolve commodity through entity evidence
424410,General Line Grocery Merchant Wholesalers,D10,P1,Mapped,Groceries support crew habitability and provisions -> D10,Groceries are consumable bulk inputs -> P1,No override signal; indirect habitability supply
326220,Rubber and Plastics Hoses and Belting Manufacturing,D4,P2,Mapped,Hoses convey fluids and gases in piping systems -> D4,Hose and belting are finished components -> P2,No override signal; definition-based default
713990,All Other Amusement and Recreation Industries,D11,P6,Partial,Recreation services have no technical ship domain -> D11 (services / non-material support; no single technical ship domain),Recreation activity is a service handoff -> P6,No override signal; definition-based default
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",D9,P2,Mapped,Plating and anodizing are specialized surface processes -> D9,Treated parts leave as finished components -> P2,No override signal; definition-based default
