Rank,UEI,Vendor (registry name),Work-type ID,Work type,Delivered-output class,Assignment,Assignment basis,Registry confidence
27,F42BKS7EHCL8,EMS DEVELOPMENT CORPORATION,01,"Electrical power equipment, conversion & distribution",Modular / integrated assembly,"01 - Electrical power equipment, conversion & distribution","Degaussing, power-management/power-conversion systems and magnetic components.",high
28,PAH8M4BJACA5,"TELEDYNE INSTRUMENTS, INC.",09,"Electronic components, computers, interconnects & cable",Discrete component / equipment,"09 - Electronic components, computers, interconnects & cable","Pressure-hull penetrators, underwater connectors, feedthroughs and molded cable assemblies.",high
29,F2LEAK3EK9R3,THE GRAHAM CORPORATION,04,"Thermal management, HVAC & air handling",Discrete component / equipment,"04 - Thermal management, HVAC & air handling","Surface condensers, heat exchangers, ejectors/vacuum systems and thermal skids.",high
30,QGB4RDYJNJT9,ELLWOOD NATIONAL FORGE COMPANY,06,"Primary metals, forgings & castings",Material / semi-finished input,"06 - Primary metals, forgings & castings","Forged shafts, sleeves, rings, discs and other high-speed rotating components.",high
31,RG6LJJM6JBS3,"AUSTAL USA, LLC",13,"Shipyard work, marine integration & outfitting",Modular / integrated assembly,"13 - Shipyard work, marine integration & outfitting","Austal shipyard structural module fabrication, outfitting, assembly and test.",high
32,XQW8RJNNAXX8,"W INTERNATIONAL, LLC",05,"Structural fabrication, tanks & ship modules",Modular / integrated assembly,"05 - Structural fabrication, tanks & ship modules","Complex steel ship structures/modules and heavy plate cutting, forming, welding and assembly.",medium
33,DJG7NEG7QRK5,"HUNT VALVE COMPANY, INC.",03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Naval ball, gate, globe/check valves and valve-actuator assemblies.",high
34,LSMBJZFLN8L9,ROSYTH ROYAL DOCKYARD LIMITED,13,"Shipyard work, marine integration & outfitting",Modular / integrated assembly,"13 - Shipyard work, marine integration & outfitting","Rosyth dockyard naval-module fabrication, assembly, integration, inspection and test.",high
35,CFXRGJSB9UB6,"SPD ELECTRICAL SYSTEMS, INC",01,"Electrical power equipment, conversion & distribution",Discrete component / equipment,"01 - Electrical power equipment, conversion & distribution","Shipboard circuit breakers, switchgear components and power-distribution hardware.",high
36,Y6X3BDLEPNJ6,"W INTERNATIONAL SC, LLC",05,"Structural fabrication, tanks & ship modules",Modular / integrated assembly,"05 - Structural fabrication, tanks & ship modules","Large shipbuilding structures/modules and heavy plate fabrication, assembly and outfitting.",medium
37,VJMTKNLENX24,ENGINEERED COIL COMPANY,04,"Thermal management, HVAC & air handling",Discrete component / equipment,"04 - Thermal management, HVAC & air handling","HVAC/refrigeration coils, fan-coil units, condensers, evaporators and air-handling heat exchangers.",high
38,Q35JL9GFCAK3,"MAROTTA CONTROLS, INC.",03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Hydraulic/pneumatic valves, manifolds and flow controls.",high
39,Z89SS59265U9,ESPEY MFG. & ELECTRONICS CORP.,01,"Electrical power equipment, conversion & distribution",Discrete component / equipment,"01 - Electrical power equipment, conversion & distribution","Power supplies, converters, transformers, battery chargers, filters and magnetics.",high
40,CBMZJ3Z5SC89,GOODRICH CORPORATION,08,"Polymers, elastomers, composites & formulated materials",Discrete component / equipment,"08 - Polymers, elastomers, composites & formulated materials","Engineered elastomer/composite sonar windows, baffles, domes and acoustic tiles.",high
41,MMCKJNNMSG23,"ADVANCE MFG.CO., INC.",07,"Precision machining, hardware & metal finishing",Discrete component / equipment,"07 - Precision machining, hardware & metal finishing","Multi-axis CNC-machined parts, close-tolerance components and build-to-print assemblies.",medium
42,WJ45NXW2TVD7,MOOG INC.,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Hydraulic and electromechanical actuators, launch/ballast-control actuators and controls.",high
43,KYURG7LRSC89,WARREN PUMPS LLC,03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Navy-qualified centrifugal, gear, piston and screw pumps and pump assemblies.",high
44,CPHLNLBGWFN5,"DRS CONSOLIDATED CONTROLS, INC.",10,"Sensors, instrumentation, controls & communications",Modular / integrated assembly,"10 - Sensors, instrumentation, controls & communications","Nuclear instrumentation/control systems, safety/control cabinets, sensors and transmitters.",high
45,MSYWUDGYPKF5,"CP INDUSTRIES HOLDINGS, INC.",05,"Structural fabrication, tanks & ship modules",Discrete component / equipment,"05 - Structural fabrication, tanks & ship modules","Large seamless high-pressure cylinders, gas storage vessels and multi-cylinder skids.",high
46,WREEAHYMRQ45,"PCB PIEZOTRONICS, INC.",10,"Sensors, instrumentation, controls & communications",Discrete component / equipment,"10 - Sensors, instrumentation, controls & communications","Hydrophones, accelerometers, pressure/shock/vibration sensors and signal conditioners.",high
47,TZVRTYNM3MN3,PEGASUS STEEL LLC,05,"Structural fabrication, tanks & ship modules",Modular / integrated assembly,"05 - Structural fabrication, tanks & ship modules",Complex welded steel structures and outfitted submarine modules.,high
48,DK14KTLXA9M5,"KME AMERICA MARINE TUBE & FITTING, LLC",03,"Fluid systems, flow control & piping",Discrete component / equipment,"03 - Fluid systems, flow control & piping","Marine pipe/tube fittings, flanges, elbows, tees, reducers and formed branches.",high
49,V1MQFNQB56Z5,RIX INDUSTRIES,03,"Fluid systems, flow control & piping",Modular / integrated assembly,"03 - Fluid systems, flow control & piping","Oil-free compressors, gas compressor plants and shipboard nitrogen-generation systems.",high
50,CMT4S6G76QB5,"BWX TECHNOLOGIES, INC.",17,"Business, staffing, training & other support",Unresolved or genuinely mixed,"17 - Business, staffing, training & other support",Corporate management and award/reporting functions for BWXT group-level naval nuclear work.,medium
52,N5KMLMXEPFM5,PARKER-HANNIFIN CORPORATION,03,"Fluid systems, flow control & piping",Modular / integrated assembly,"03 - Fluid systems, flow control & piping","[OVERRIDE of NAICS-default 11] Carson CA Water Purification / Village Marine RO desalination-watermaker OEM = naval water-treatment fluid system, not commercial/service machinery.",high
87,WSK3WRSGKAU1,ALFA LAVAL INC.,04,"Thermal management, HVAC & air handling",Discrete component / equipment,"04 - Thermal management, HVAC & air handling","NAICS-default 04 (heat exchangers) holds; 03/04 boundary vendor - also separators, filtration, pumps, valves, marine pumping (03). Heat-transfer kept primary.",high
108,G78MQ69BN636,AIRCRAFT APPLIANCES AND EQUIPMENT LIMITED,03,"Fluid systems, flow control & piping",Modular / integrated assembly,"03 - Fluid systems, flow control & piping","[OVERRIDE of NAICS-default 05] Marine fuel/lube-oil filtration & separation systems = fluid system, not metal tanks.",high
138,LG88NCWJ3A95,"YOUNG ENGINEERING & MANUFACTURING, INC.",05,"Structural fabrication, tanks & ship modules",Discrete component / equipment,"05 - Structural fabrication, tanks & ship modules",NAICS-default 05 holds: bladder surge tanks / pulsation dampeners are ASME pressure vessels (process = pressure-vessel mfg; fluid-system function noted).,medium
149,FLMQAKFEMG64,INDEECO LLC,04,"Thermal management, HVAC & air handling",Discrete component / equipment,"04 - Thermal management, HVAC & air handling",NAICS-default 04 holds: engineered electric heating equipment. (HII thermal/fluid boundary explains low SWBS agreement; process classification 04 correct.),high
